,ValueSPred_Urba,ValueSPred_For,ValueSPred_CC,ValueSPred_M,ValueSPred_ZH,mean_concentration_air_grid_sum,mean_tii_grid_sum,mean_tii_scale_grid_sum,mean_concentration_water_grid_sum,SurfBio_cell,nb_exp_cell,Long_route,nb_roads,Lum_mean,ValueSPred_Urba_year_plus_1,ValueSPred_For_year_plus_1,ValueSPred_CC_year_plus_1,ValueSPred_M_year_plus_1,ValueSPred_ZH_year_plus_1,mean_concentration_air_grid_sum_year_plus_1,mean_tii_grid_sum_year_plus_1,mean_tii_scale_grid_sum_year_plus_1,mean_concentration_water_grid_sum_year_plus_1,SurfBio_cell_year_plus_1,nb_exp_cell_year_plus_1,Long_route_year_plus_1,nb_roads_year_plus_1,Lum_mean_year_plus_1,cluster
APUAPU,14.419064255585894,-25.44133770331081,-54.22523664815929,-5.2580419347049725,9.290962824034803,-11.795930233906322,1.408026654115753,1.4080266541163542,-8.57137153745552,-2.191836079560019,21.61723234274942,4.1910949555707795,7.024518971654319,9.954694988932925,14.023140333156924,25.90967637908377,52.69127660358514,7.0783870162989615,10.702958402408738,-11.909076987868906,3.9263642199820334,3.926364219980902,-2.4807560293536826,-8.317489633233972,29.285840164064766,-0.6745657405384203,11.111823549151188,1.2261439809278898,2
CERBRA,0.43902550141928737,2.3360271212851953,4.686345902451203,1.8652773904644746,0.39840050996775467,0.35604461396801157,-0.4355148786703457,-0.43551487867031524,0.9156232115712083,0.7657335750853234,0.486391257943924,0.8813433397188789,-1.485732337339319,0.18499403169756046,-0.4480115333927621,-0.3946932847581438,-5.047134937698678,-1.6191934824926313,-0.020033792641950925,1.1907213337706355,-0.32463903167059327,-0.32463903167058294,0.7426004688666152,0.45882161157534074,-0.1687471535685864,1.0042052388843699,-2.0554959019945063,-1.1196004817726328,1
COLPAL,2.1350739955053997,33.650807887810984,-2.020574706898302,5.087485520898097,-1.7137137049173583,6.731700727209222,0.8951855645951862,0.8951855645951259,3.7959154064947165,-0.12337504079665693,2.121073539496985,-2.8571860461798906,9.229908184099786,0.03539088525688009,6.2942537780329895,-33.0057539974899,4.228805057514129,-6.4162532491673865,-1.9594357786335304,13.117760473742804,-0.6332894033556729,-0.6332894033552443,0.8519135302761637,5.588551161988319,0.6437642394387346,4.236748263651034,2.2358425773593544,-2.3921356784882257,1
FALTIN,-0.28499971561801807,1.8777611095653135,-4.736055612058757,-0.3910789910118606,0.2868887812067943,-0.9479641243986058,-0.14876893930989904,-0.14876893931004698,0.028265876134833865,0.06789954920192624,0.8730229784128916,-0.2708588251442434,0.2572191596458094,0.3345346803617769,-0.6933884545491892,-2.7511209865380963,4.803137484586424,0.8686185599868774,0.05999981710977994,-0.30929421754442893,1.2061971435533096,1.2061971435533878,0.06753551404593654,-0.03286654702654445,1.0650273428727828,0.8121471371219775,-0.09109942798674338,0.21016560012135047,1
GALCHL,0.2997299294435748,0.08776657847258439,0.6528320289988233,-0.27049637939221566,0.5270132017346623,0.8058477917611144,0.25219156347654975,0.25219156347652544,0.19472367491441883,-0.48029707115072634,0.9171000467718926,-0.6383723400897264,-0.12468206368557763,0.19613836750095529,0.1513251853305697,-0.610192240787917,-0.5397291755220296,-0.09982494244429937,0.2260898747308507,0.9005719750279623,-0.18900636005016244,-0.1890063600501869,-0.635664449352463,-0.6695211590196365,1.0481533997909809,0.09448634131402799,0.015716447659931538,0.13280314339320926,1
GARGLA,1.233672595218156,0.8855867872839706,7.930623777404067,3.1813287396529617,-0.9768992710062218,-0.28451530074450204,-0.9259821952542737,-0.9259821952541689,0.23802896169358428,-0.00836526847290132,-0.14916288549061885,0.42780766902797945,-1.4968695400190033,-0.4778963076036614,-1.4686972097238995,0.5450223833910306,-9.330412491194819,-1.9378783911334518,-1.4891750767411975,-1.43719810512199,-0.24023051299014342,-0.24023051298985099,-0.5001651195902084,0.605186747023684,0.6674303002235012,-0.07562428189523887,-1.4899591060031434,-1.071478122437511,1
HIRRUS,-3.5170960328514687,7.278315869430296,-20.745016844963466,-2.0500378903680754,1.4273287854356305,-1.7709923747442282,-1.5854481745781634,-1.5854481745778197,-1.7735391122686068,-0.32052136639147755,-4.264344143881809,1.065183628422871,1.3236191446459946,0.8242628511430431,-2.9048881852576733,-18.30511023711094,21.792255047382195,4.213992139477983,-0.21274042654680528,-1.6246514916011936,2.583267207661566,2.583267207662233,-0.6201968482738036,-0.7119171097147529,-2.074182482512249,0.09437276013645735,-2.3590252729208028,0.6684730225006639,1
LULARB,-0.7987454281904108,-0.9306127109166655,-11.187530313412434,-0.1324947405670695,-1.352917502890163,-2.5802027576836952,-0.2449125371550751,-0.24491253715505207,-1.0341655647304455,-0.01341854006161627,0.2956129486421303,-0.03814453068997769,-1.1422652276425425,0.160096095121169,-2.409414929743237,-0.8347816337402988,7.432743856430113,3.0562193202325965,-1.918479649453743,-0.6351910682382754,1.9989392606706102,1.9989392606707306,-0.3719153935010303,1.5021231764730245,0.6556225412908834,0.6901375304900733,1.1062918841778495,-0.7913538676381593,1
LUSMEG,-2.6984815097606085,-3.995591240363727,-40.98443004462748,-5.667092463243357,4.2651043688141455,-3.613743847076328,0.241286049101083,0.24128604910062748,1.5856791018990606,-0.550808987054075,0.6355446979486915,-1.3899214463688496,-0.2809735941837795,1.0151632777452124,-4.237572032672974,-3.003259219364067,38.95638860359003,9.887089890987648,4.337017182375577,-3.471700109859792,1.9117690067810083,1.9117690067809585,0.3515652002664215,-3.7386482491866273,0.4779533659413234,-0.2785551255141239,2.0353911524478883,0.7527334183295313,1
MILCAL,0.030605514630498182,1.5351838451382132,0.8812205125093767,-0.626086214414649,0.06387521306045371,-1.2776747733317824,2.1465714832357103,2.1465714832355505,-2.6610795708385515,0.7553807277850237,-0.9621530013016091,-1.3916740738878084,-0.33175553194070806,-0.5565904765840874,-0.6742151647649153,-2.208026996021701,4.032771375889084,0.44351360703513787,0.34053811936213035,1.129721235090751,1.4164759423097157,1.4164759423097397,-1.7133285588658993,4.3054634385118105,-2.6255098670350563,-2.576432280542264,4.3094567761430564,-0.43942387622426216,1
