site,species,n_years,french_name
10120,APUAPU,3,Martinet noir
10120,CERBRA,3,Grimpereau des jardins
10120,COLPAL,3,Pigeon ramier
10120,CORCOR,3,Corneille noire
10120,CUCCAN,3,Coucou gris
10120,DENMAJ,3,Pic épeiche
10120,EMBCIT,3,Bruant jaune
10120,ERIRUB,3,Rougegorge familier
10120,FALTIN,3,Faucon crécerelle
10120,FRICOE,3,Pinson des arbres
10120,GALCHL,3,Gallinule poule-d'eau
10120,GARGLA,3,Geai des chênes
10120,HIRRUS,3,Hirondelle rustique
10120,LULARB,3,Alouette lulu
10120,LUSMEG,3,Rossignol philomèle
10120,PARCAE,3,Mésange bleue
10120,PARMAJ,3,Mésange charbonnière
10120,PASDOM,3,Moineau domestique
10120,PHOOCH,3,Rougequeue noir
10120,PHYCOL,3,Pouillot véloce
10120,PICVIR,3,Pic vert
10120,SITEUR,3,Sittelle torchepot
10120,STRDEC,3,Tourterelle turque
10120,STRTUR,3,Tourterelle des bois
10120,STUVUL,3,Étourneau sansonnet
10120,SYLATR,3,Fauvette à tête noire
10120,TROTRO,3,Troglodyte mignon
10120,TURMER,3,Merle noir
10120,TURPHI,3,Grive musicienne
10168,CERBRA,3,Grimpereau des jardins
10168,COLPAL,3,Pigeon ramier
10168,CORCOR,3,Corneille noire
10168,DENMAJ,3,Pic épeiche
10168,DRYMAR,3,Pic noir
10168,EMBCIT,3,Bruant jaune
10168,ERIRUB,3,Rougegorge familier
10168,FRICOE,3,Pinson des arbres
10168,GARGLA,3,Geai des chênes
10168,HIRRUS,3,Hirondelle rustique
10168,PARCAE,3,Mésange bleue
10168,PARMAJ,3,Mésange charbonnière
10168,PASDOM,3,Moineau domestique
10168,PHOOCH,3,Rougequeue noir
10168,PHYCOL,3,Pouillot véloce
10168,PICVIR,3,Pic vert
10168,SITEUR,3,Sittelle torchepot
10168,STRDEC,3,Tourterelle turque
10168,STUVUL,3,Étourneau sansonnet
10168,SYLATR,3,Fauvette à tête noire
10168,TROTRO,3,Troglodyte mignon
10168,TURMER,3,Merle noir
10168,TURPHI,3,Grive musicienne
10168,TURVIS,3,Grive draine
10265,ANTTRI,4,Pipit des arbres
10265,CERBRA,4,Grimpereau des jardins
10265,COLPAL,4,Pigeon ramier
10265,CORCOR,4,Corneille noire
10265,CUCCAN,4,Coucou gris
10265,DENMAJ,4,Pic épeiche
10265,DRYMAR,4,Pic noir
10265,EMBCIT,4,Bruant jaune
10265,ERIRUB,4,Rougegorge familier
10265,FRICOE,4,Pinson des arbres
10265,GARGLA,4,Geai des chênes
10265,HIRRUS,4,Hirondelle rustique
10265,LUSMEG,4,Rossignol philomèle
10265,PARCAE,4,Mésange bleue
10265,PARCRI,4,Mésange huppée
10265,PARMAJ,4,Mésange charbonnière
10265,PASDOM,4,Moineau domestique
10265,PHOOCH,4,Rougequeue noir
10265,PHYCOL,4,Pouillot véloce
10265,PICVIR,4,Pic vert
10265,PRUMOD,4,Accenteur mouchet
10265,SITEUR,4,Sittelle torchepot
10265,STRDEC,4,Tourterelle turque
10265,STUVUL,4,Étourneau sansonnet
10265,SYLATR,4,Fauvette à tête noire
10265,TROTRO,4,Troglodyte mignon
10265,TURMER,4,Merle noir
10265,TURPHI,4,Grive musicienne
10265,TURVIS,4,Grive draine
10295,ANTTRI,12,Pipit des arbres
10295,APUAPU,12,Martinet noir
10295,CERBRA,12,Grimpereau des jardins
10295,COLPAL,12,Pigeon ramier
10295,CORCOR,12,Corneille noire
10295,CUCCAN,12,Coucou gris
10295,DENMAJ,12,Pic épeiche
10295,DRYMAR,12,Pic noir
10295,EMBCIT,12,Bruant jaune
10295,ERIRUB,12,Rougegorge familier
10295,FALTIN,12,Faucon crécerelle
10295,FRICOE,12,Pinson des arbres
10295,GALCHL,12,Gallinule poule-d'eau
10295,GARGLA,12,Geai des chênes
10295,HIRRUS,12,Hirondelle rustique
10295,LULARB,12,Alouette lulu
10295,LUSMEG,12,Rossignol philomèle
10295,PARCAE,12,Mésange bleue
10295,PARCRI,12,Mésange huppée
10295,PARMAJ,12,Mésange charbonnière
