species,n_sites,french_name
SYLATR,2590,Fauvette à tête noire
TURMER,2587,Merle noir
PARMAJ,2584,Mésange charbonnière
FRICOE,2566,Pinson des arbres
COLPAL,2564,Pigeon ramier
CORCOR,2548,Corneille noire
PHYCOL,2514,Pouillot véloce
PARCAE,2510,Mésange bleue
ERIRUB,2502,Rougegorge familier
TROTRO,2426,Troglodyte mignon
GARGLA,2410,Geai des chênes
TURPHI,2376,Grive musicienne
HIRRUS,2367,Hirondelle rustique
PICVIR,2359,Pic vert
STUVUL,2332,Étourneau sansonnet
DENMAJ,2316,Pic épeiche
CUCCAN,2314,Coucou gris
PASDOM,2263,Moineau domestique
STRDEC,2203,Tourterelle turque
CERBRA,2173,Grimpereau des jardins
PHOOCH,2124,Rougequeue noir
FALTIN,2055,Faucon crécerelle
APUAPU,2002,Martinet noir
LUSMEG,1956,Rossignol philomèle
SITEUR,1940,Sittelle torchepot
PRUMOD,1896,Accenteur mouchet
STRTUR,1895,Tourterelle des bois
TURVIS,1849,Grive draine
ALAARV,1728,Alouette des champs
EMBCIT,1713,Bruant jaune
ANTTRI,1550,Pipit des arbres
MILCAL,1153,Bruant proyer
DRYMAR,1135,Pic noir
LULARB,1131,Alouette lulu
GALCHL,882,Gallinule poule-d'eau
PARCRI,882,Mésange huppée
