species,french_name
APUAPU,Martinet noir
CERBRA,Grimpereau des jardins
COLPAL,Pigeon ramier
FALTIN,Faucon crécerelle
GALCHL,Gallinule poule-d'eau
GARGLA,Geai des chênes
HIRRUS,Hirondelle rustique
LULARB,Alouette lulu
LUSMEG,Rossignol philomèle
MILCAL,Bruant proyer
PARCAE,Mésange bleue
PARMAJ,Mésange charbonnière
PASDOM,Moineau domestique
PHOOCH,Rougequeue noir
PHYCOL,Pouillot véloce
PICVIR,Pic vert
STRDEC,Tourterelle turque
STRTUR,Tourterelle des bois
STUVUL,Étourneau sansonnet
SYLATR,Fauvette à tête noire
TURMER,Merle noir
ALAARV,Alouette des champs
CORCOR,Corneille noire
CUCCAN,Coucou gris
DENMAJ,Pic épeiche
ERIRUB,Rougegorge familier
FRICOE,Pinson des arbres
SITEUR,Sittelle torchepot
TROTRO,Troglodyte mignon
TURPHI,Grive musicienne
TURVIS,Grive draine
ANTTRI,Pipit des arbres
EMBCIT,Bruant jaune
PRUMOD,Accenteur mouchet
PARCRI,Mésange huppée
DRYMAR,Pic noir
