Year,id_cell,Month,Temps_mean_mensu_grid,Precipitation_mean_mensu_grid,Temps_max_mensu_grid,Temps_min_mensu_grid,TAMPLI_mean_mensu_grid,species,site,abondance,passage,scientific_name,french_name,abondance_capped,abondance_max,abondance_mean,abondance_sum,Area_grid_tot_Urba,ValueSPred_Urba,Area_grid_tot_For,ValueSPred_For,Area_grid_tot_CC,ValueSPred_CC,Area_grid_tot_M,ValueSPred_M,mean_concentration_air_grid_max,mean_tii_grid_max,mean_tii_scale_grid_max,mean_concentration_water_grid_max,all_pesticide_exposure_grid_max,mean_concentration_air_grid_sum,mean_tii_grid_sum,mean_tii_scale_grid_sum,mean_concentration_water_grid_sum,all_pesticide_exposure_grid_sum,SurfBio_cell,nb_exp_cell
2001,22679,1.0,,2.80322580645161,,,,ACRSCI,660330,0,XXX,Acrocephalus scirpaceus,Rousserolle effarvatte,0,0,0.0,0,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,
2001,22679,1.0,,2.80322580645161,,,,ALERUF,660330,0,XXX,Alectoris rufa,Perdrix rouge,0,0,0.0,0,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,
2001,22679,1.0,,2.80322580645161,,,,APUAPU,660330,3,only_2,Apus apus,Martinet noir,3,3,3.0,3,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,
2001,22679,1.0,,2.80322580645161,,,,ATHNOC,660330,0,XXX,Athene noctua,Chevêche d'Athéna,0,0,0.0,0,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,
2001,22679,1.0,,2.80322580645161,,,,BUTBUT,660330,0,XXX,Buteo buteo,Buse variable,0,0,0.0,0,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,
2001,22679,1.0,,2.80322580645161,,,,CARCAN,660330,0,XXX,Carduelis cannabina,Linotte mélodieuse,0,0,0.0,0,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,
2001,22679,1.0,,2.80322580645161,,,,CARCAR,660330,30,only_2,Carduelis carduelis,Chardonneret élégant,17,17,17.0,17,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,
2001,22679,1.0,,2.80322580645161,,,,CARCHL,660330,3,only_2,Carduelis chloris,Verdier d'Europe,3,3,3.0,3,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,
2001,22679,1.0,,2.80322580645161,,,,CERBRA,660330,2,only_2,Certhia brachydactyla,Grimpereau des jardins,2,2,2.0,2,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,
2001,22679,1.0,,2.80322580645161,,,,CETCET,660330,1,only_2,Cettia cetti,Bouscarle de Cetti,1,1,1.0,1,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,
